feature,var_f1
aint,0.0
appositive-pleonastic-pronoun,0.0014637549968737193
bare-got,0.0006882658785199937
be-construction,0.016445105820105815
bin,0.0026232240257880405
come,0.0
demonstrative-them,0.054125094482237325
double-modal,0.0
double-object,0.0
double-tense,0.0
existential-it,0.0018521689206836777
is-was-gen,0.0017472679740428462
multiple-neg,0.0006011901472929669
n-inv-neg-concord,0.24999999999999997
neg-inversion,0.05151388888888888
past-tense-swap,0.0017105938216470191
preterite-had,0.010819827330691024
resultant-done,0.005714285714285718
verb-stem,0.004233933532980697
zero-3sg-pres-s,0.000544888017379649
zero-copula,0.001627094981414886
zero-pl-s,0.011934604924989546
zero-poss,0.017116071887148917
zero-rel-pronoun,0.005279202917511698
