feature,var_f1
aint,0.0003698224852071002
appositive-pleonastic-pronoun,0.0013693016589686592
bare-got,0.00048671722596875235
be-construction,0.0007174744897959178
bin,0.0
come,0.0
demonstrative-them,0.0
double-object,0.0014413265306122427
double-tense,0.0
existential-it,0.0013755546254586265
is-was-gen,0.0004801639884696507
multiple-neg,0.0009089776346270052
n-inv-neg-concord,0.12380952380952379
neg-inversion,0.0
past-tense-swap,0.001709482256272162
preterite-had,0.07070048868312757
resultant-done,0.0
verb-stem,0.0029301900847132803
zero-3sg-pres-s,0.000671594614583666
zero-copula,0.0005445081015051855
zero-pl-s,0.006913473763998244
zero-poss,0.0033443181866884245
zero-rel-pronoun,0.0005096914272997811
