sentence,feature,disagreeing_pairs,label_Gold,label_Razan,label_Tilly
And my cousin she just moved into a house.,appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"And you gotta imagine me, I'm like fifteen sixteen listening to somebody who's like, forty telling me about the problems that they have.",appositive-pleonastic-pronoun,Gold≠Razan,0,1.0,
"Derrick Rose, he's gonna help.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"Girl, she's fifteen.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"I mean, I think the- the youth today, I mean, they have the right, I think, um, mindset as far as like, um, not being scared of anything.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"I mean, all the other teams they lost a lot of good players but they gained a lot of good players as well.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"My brother and sister, they do the driving.",appositive-pleonastic-pronoun,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
"My sister and her friend, they came with me in here.",appositive-pleonastic-pronoun,Gold≠Tilly,1,,0.0
"So- and- and m- and me personally I don't think it's for our benefit they building these new developments because if you go down t- Man, I- where- where'd I drive to?",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"Uh, my mother sh- when she was- start working she was a, um, assistant director of housekeeping for Marriott.",appositive-pleonastic-pronoun,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
"We stayed down there, and her son, he was young.",appositive-pleonastic-pronoun,Gold≠Tilly,1,,0.0
"Whereas though New York, everybody, their whole offense was based off one on one playing, one on one, um, when they got the ball.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"Whereas though back then the older guys, they'll see us, the ones- the guys- the younger guys, you know, that- they know we into sports and we don't deal in that type of activity.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"Yeah, us as kids, they saw us- they'll see us, especially the ones that, you know, they knew it wasn't their lifestyle, we'll be in their area, hey y'all need to go.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
"and the average person in the city, some of 'em don't have a car to take their kid to like a- uh, a private school or something like that.",appositive-pleonastic-pronoun,Gold≠Razan,1,0.0,
And I got a- a stationary bicycle right now.,bare-got,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
And then I got a brother in Norfolk.,bare-got,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
Got a niece there.,bare-got,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
"It was community college then, and got my GED.",bare-got,"Gold≠Razan, Gold≠Tilly",1,0.0,0.0
"Um, involved in interaction with other individuals yeah, where as though now, you got your phone, or computer or laptop, you fine as a child.",bare-got,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
"Um, yeah but the funny thing is I never- I never got a beating and I never got a punish.",bare-got,Gold≠Razan,1,0.0,
"Whereas though New York, everybody, their whole offense was based off one on one playing, one on one, um, when they got the ball.",bare-got,Gold≠Razan,0,1.0,
"Yeah, I got nieces and nephews.",bare-got,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
"But I- I don't just give her stuff just to be giving her- I mean, I explain to her, you know, why I'm doing it.",be-construction,Gold≠Razan,0,1.0,
"I mean, cause I could draw, really really good, and I wanted to be like a artist, engineer, or I be on TV playing sports.",be-construction,Gold≠Razan,1,0.0,
Yeah cause they b- be down here.,be-construction,"Gold≠Tilly, Razan≠Tilly",1,1.0,0.0
"And it was instances where after we been there for a while, we were one on one with individuals probably twice my age.",bin,Gold≠Razan,1,0.0,
"And that was my first time tasting it, I been buying it every since.",bin,Gold≠Razan,1,0.0,
"And that's how I always been, put yours to the side to try and help them.",bin,Gold≠Razan,1,0.0,
"And, um, my mentor a guy named RD-NAME-5 and I- I ran into him like a couple years ago I been friends with him ever since.",bin,Gold≠Razan,1,0.0,
"I mean, she was- you could tell she been crying all night, she didn't sleep when I was talking to her.",bin,Gold≠Razan,1,0.0,
"I went over there, course we had fun, we exchanged numbers, we been talking every since.",bin,Gold≠Razan,1,0.0,
"My brother and sister, they do the driving.",bin,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
"My closest friend is my barber and I been knowing him ever since we- I was like, ten years old.",bin,Gold≠Razan,1,0.0,
"My sister and her friend, they came with me in here.",bin,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
Other people started finding out I can cook so I been doing it for like the last four years.,bin,"Gold≠Razan, Gold≠Tilly",1,0.0,0.0
"Um, sh- I been knowing her since like, the nineties.",bin,Gold≠Razan,1,0.0,
"We stayed down there, and her son, he was young.",bin,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
"Yeah, I mean, all of my friends- I have- really don't have- of course the p- other than the people here, but like close- close friends, I been knowing for decades.",bin,Gold≠Razan,1,0.0,
It was something going on.,demonstrative-them,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
"And she said, I'm tryna cook me something to eat.",double-object,Gold≠Tilly,1,,0.0
And she work for Miss RD-NAME-4 for year with her and her children and her husband.,double-object,Gold≠Tilly,0,,1.0
Sometime seven day.,double-object,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
Two brother.,double-object,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
"And so my sister didn't have a car then and she said, what we gonna do?",double-tense,Gold≠Tilly,0,,1.0
It gonna bust.,double-tense,Gold≠Tilly,0,,1.0
"Not that I'm a mumbo sauce connoisseur, it's two different kinds.",double-tense,Gold≠Razan,1,0.0,
Then she told her this not no tumor.,double-tense,Gold≠Tilly,0,,1.0
"You talking about the brother and si- They stay on the next street, Beasley.",double-tense,"Gold≠Tilly, Razan≠Tilly",0,0.0,1.0
