filename	utterance	1-zero-poss	3-zero-copula	4-double-tense	5-be-construction	5-resultant-done	6-finna	6-come	6-double-modal	7-multiple-neg	7-neg-inversion	7-n-inv-neg-concord	7-aint	8-zero-3sg-pres-s	8-is-was-gen	9-zero-pl-s	10-double-object	11-wh-qu
FullTest_Final.txt	Today's date is October the fourth two thousand seventeen.	1.991573844861705e-05	0.00011383849778212607	8.539795089745894e-06	2.3550999685539864e-05	6.911186119396007e-06	1.099209111998789e-05	1.004658861347707e-05	2.613749984448077e-06	2.7656458769342862e-05	1.1361539691279177e-05	9.65183244261425e-06	6.014554855937604e-06	1.8054317479254678e-05	1.7290487448917702e-05	0.6751841902732849	8.65537003846839e-06	1.6841546312207356e-05
FullTest_Final.txt	Birthday is December the first.	1.257029452972347e-05	0.00012536763097159564	1.2195617955512716e-06	2.97905421575706e-06	1.4735783224750776e-06	1.823657839850057e-06	6.1389973780023865e-06	6.590148018403852e-07	3.032027734661824e-06	9.96076551018632e-07	1.0566594710326171e-06	9.856123597273836e-07	1.1709809768944979e-05	2.5393215764779598e-05	1.3084587408229709e-05	1.1154866115248296e-06	2.2034248559066327e-06
FullTest_Final.txt	I was born in Washington DC.	1.714449695100484e-06	1.0112163181474898e-05	3.0411990792345023e-06	3.275977633165894e-06	2.416139523120364e-06	6.158124051580671e-06	2.0297800347179873e-06	1.4141805877443403e-06	4.233421805110993e-06	2.244174311272218e-06	1.395464551023906e-06	2.3052018605085323e-06	3.5970710996480193e-06	3.22815458275727e-06	2.598501851025503e-06	2.793786961774458e-06	1.5048876775836106e-06
FullTest_Final.txt	Haven't been in that neighborhood in the last four or five years since they, um- It's not the they remodeled.	1.04733089756337e-05	9.159342880593613e-05	2.7644040528684855e-05	2.3567215521325124e-06	4.8927145144261885e-06	2.578231033112388e-06	5.688436317541345e-07	9.740385848999722e-07	8.457176591036841e-06	9.348049729851482e-07	1.4708951994180097e-06	2.5719050427142065e-06	1.5683151559642283e-06	1.0615161954774521e-05	2.546104951761663e-06	8.32953503504541e-07	4.457338491192786e-06
FullTest_Final.txt	I was born here and then left when I was twenty seven.	9.262423645850504e-07	3.298649744465365e-06	5.085958036943339e-06	3.940565420634812e-06	4.011910277768038e-06	6.996868251007982e-06	2.488391601218609e-06	1.4776861689824727e-06	7.213664957816945e-06	1.5968820434864028e-06	2.4328169274667744e-06	2.218195959358127e-06	4.8011529543146025e-06	3.7180841445660917e-06	0.00010201510303886607	5.364862772694323e-06	1.7510537873022258e-06
FullTest_Final.txt	So I pretty much grew up in DC.	1.221184106725559e-06	9.844166015682276e-06	1.8725587551671197e-06	2.5853910301520955e-06	7.928157174319495e-06	8.081480700639077e-06	8.819667982606916e-07	3.7163151773711434e-06	7.92505124991294e-06	1.7732971855366486e-06	2.1488508537004236e-06	3.629573029684252e-06	2.1375235519371927e-06	2.1327789454517188e-06	4.507884568738518e-06	1.6918243090913165e-06	1.436158981960034e-06
FullTest_Final.txt	I am the director of safety and facilities for RD-WORK-11.	2.30638056564203e-06	2.2594190340896603e-06	3.647150606411742e-06	4.039879968331661e-06	1.7782015220291214e-06	9.15873079065932e-06	1.9505821455823025e-06	1.5526002243859693e-06	5.75489275433938e-06	1.6937922282522777e-06	2.4090459191938862e-06	1.3550884432333987e-06	2.9787358926114393e-06	8.956097190093715e-06	1.3781584129901603e-05	1.4399811334442347e-06	3.1227450563164894e-06
FullTest_Final.txt	Yes, yes, um, for the past four years, I've been catering on the side, for the last four years, yeah.	2.483991011104081e-06	2.421558065179852e-06	1.6714028561182204e-06	4.863304639002308e-06	2.2788126443629153e-06	3.292203928140225e-06	2.0671016045525903e-06	2.170352445318713e-06	1.0466848834767006e-05	1.6289491213683505e-06	2.929441052401671e-06	2.730703954512137e-06	2.60399428952951e-06	3.5764996937359683e-06	3.3795295166783035e-06	3.497350689940504e-06	1.7146802520073834e-06
FullTest_Final.txt	Um, initially when I first started, it was a favor.	1.6383405636588577e-06	2.600400875962805e-06	3.414097136555938e-06	3.168579951307038e-06	4.759348939842312e-06	5.729471922677476e-06	1.1346272003720514e-05	1.5503896975133102e-06	3.8681500882375985e-06	2.9995971999596804e-06	2.0652867078752024e-06	2.530310439396999e-06	3.237385271859239e-06	4.9052914619096555e-06	2.834479801094858e-06	9.917836905515287e-06	9.540104656480253e-06
FullTest_Final.txt	That's how it started off.	1.7082901422327268e-06	1.2397194041113835e-05	1.6654171304253396e-06	1.2507031215136521e-06	1.2179149052826688e-05	4.425321549206274e-06	1.342316136287991e-05	1.183972472063033e-06	9.502412467554677e-06	3.7179070204729214e-06	1.7508767768958933e-06	5.093666459288215e-06	1.790480200725142e-05	1.2849586710217409e-05	2.1798214220325463e-05	3.612761702243006e-06	0.0030346799176186323
FullTest_Final.txt	Because I always knew I can cook cause my mother's from the south, so.	1.450428271709825e-06	4.461010030354373e-05	1.530082613498962e-06	1.9787648852798156e-06	8.106653126560559e-07	5.7713696151040494e-06	2.0817963104491355e-06	2.1550979454332264e-06	9.948529623216018e-06	1.9169176539435284e-06	2.5917802304320503e-06	1.3315860769580468e-06	5.978686658636434e-06	3.3035767046385445e-06	2.5819292659434723e-06	2.1710934561269823e-06	1.437312675989233e-06
FullTest_Final.txt	Her southern cooking and my city met.	1.4903022020007484e-05	0.33560484647750854	8.039271961024497e-06	1.7317232732239063e-06	1.5401916471091681e-06	8.706856533535756e-06	8.94230561243603e-06	1.8796474705595756e-06	7.03377190802712e-06	3.396777628950076e-06	2.4023147489060648e-06	5.295760729495669e-06	3.2278159778798e-05	8.948209142545238e-06	3.914339231414488e-06	2.117958274538978e-06	5.471837994264206e-06
FullTest_Final.txt	But how it happened was, a friend knew I could cook and wanted me to cook for her- her grandmother's repass.	1.1855682714667637e-05	2.755635250650812e-06	1.2009418242087122e-05	9.148648132395465e-06	5.6551194575149566e-05	2.024850618909113e-05	1.2213974514452275e-05	7.085605830070563e-06	1.451554362574825e-05	1.0143312465515919e-05	1.6788564607850276e-05	5.858164058736293e-06	1.762563806551043e-05	0.001142483321018517	1.3736684195464477e-05	0.3400275707244873	0.037304721772670746
FullTest_Final.txt	I was doing it as a favor.	1.124953996622935e-06	2.1284388367348583e-06	4.706144864030648e-06	3.428345507927588e-06	7.93044819147326e-06	1.5717170072093722e-06	2.27245391215547e-06	2.171673486373038e-06	4.067521331307944e-06	1.020802869788895e-06	2.0617778773157625e-06	1.741996243254107e-06	4.098465069546364e-06	3.652786290331278e-06	3.67649522559077e-06	5.683687049895525e-06	4.084558895556256e-06
