sentence,appositive-pleonastic-pronoun__Gold,appositive-pleonastic-pronoun__Razan,appositive-pleonastic-pronoun__Tilly,features_disagreed,bin__Gold,bin__Razan,bin__Tilly,zero-rel-pronoun__Gold,zero-rel-pronoun__Razan,zero-rel-pronoun__Tilly,bare-got__Gold,bare-got__Razan,bare-got__Tilly,past-tense-swap__Gold,past-tense-swap__Razan,past-tense-swap__Tilly,be-construction__Gold,be-construction__Razan,be-construction__Tilly,resultant-done__Gold,resultant-done__Razan,resultant-done__Tilly,is-was-gen__Gold,is-was-gen__Razan,is-was-gen__Tilly,demonstrative-them__Gold,demonstrative-them__Razan,demonstrative-them__Tilly,existential-it__Gold,existential-it__Razan,existential-it__Tilly,double-object__Gold,double-object__Razan,double-object__Tilly,verb-stem__Gold,verb-stem__Razan,verb-stem__Tilly,zero-3sg-pres-s__Gold,zero-3sg-pres-s__Razan,zero-3sg-pres-s__Tilly,zero-pl-s__Gold,zero-pl-s__Razan,zero-pl-s__Tilly,double-tense__Gold,double-tense__Razan,double-tense__Tilly,zero-copula__Gold,zero-copula__Razan,zero-copula__Tilly,multiple-neg__Gold,multiple-neg__Razan,multiple-neg__Tilly,neg-inversion__Gold,neg-inversion__Razan,neg-inversion__Tilly,finna__Gold,finna__Razan,finna__Tilly,n-inv-neg-concord__Gold,n-inv-neg-concord__Razan,n-inv-neg-concord__Tilly,preterite-had__Gold,preterite-had__Razan,preterite-had__Tilly,zero-poss__Gold,zero-poss__Razan,zero-poss__Tilly
And my cousin she just moved into a house.,1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"And you gotta imagine me, I'm like fifteen sixteen listening to somebody who's like, forty telling me about the problems that they have.",0.0,1.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derrick Rose, he's gonna help.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Girl, she's fifteen.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, I think the- the youth today, I mean, they have the right, I think, um, mindset as far as like, um, not being scared of anything.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I mean, all the other teams they lost a lot of good players but they gained a lot of good players as well.",1.0,0.0,,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My brother and sister, they do the driving.",1.0,1.0,0.0,"appositive-pleonastic-pronoun, bin",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My sister and her friend, they came with me in here.",1.0,,0.0,"appositive-pleonastic-pronoun, bin",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So- and- and m- and me personally I don't think it's for our benefit they building these new developments because if you go down t- Man, I- where- where'd I drive to?",1.0,0.0,,"appositive-pleonastic-pronoun, zero-rel-pronoun",,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uh, my mother sh- when she was- start working she was a, um, assistant director of housekeeping for Marriott.",0.0,0.0,1.0,appositive-pleonastic-pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
