sentence,feature,gold,pred,model_rationale
"And my dad, um, he did- he played soccer and he- um, is it a seamstress when you're a guy?",appositive-pleonastic-pronoun,0,1,"The subject NP is repeated by a pronoun: 'my dad, ... he ...', a resumptive pronoun for the same referent."
"Well he- he, um, was a seamstress and then when he came to the States, he did like, um, custodial work.",appositive-pleonastic-pronoun,1,0,"The 'he- he' sequence is a disfluency/repair, not a deliberate resumptive pronoun."
"Um, get like a different reaction because like, you know it's different music and stuff like that, so.",existential-it,1,0,"'It' in 'it's different music' is referential/copular, not existential. SAE 'there' substitution is not licensed here."
"Um, When I first came out here obviously there wasn't like- things weren't that close.",is-was-gen,1,0,"Past BE agrees with subjects ('there' existential, 'things' + 'weren't'); no generalized 'was/is' with non-3sg subjects."
"Um, also when I went to school, like with teachers with different accents, like that come from, um, different countries like, the West Indies and you know like other places.",verb-stem,1,0,Past meaning is not expressed with a bare verb stem; past is marked with 'went' correctly.
E- basically everything you do e- equal up with some science.,zero-3sg-pres-s,0,1,"Singular subject 'everything' takes bare verb 'equal' (no -s), where SAE would require 'equals'."
E- basically everything you do e- equal up with some science.,zero-rel-pronoun,1,0,"While 'everything [you do]' omits 'that', the zero element is in object position, not a subject relative as required by this feature."
"I mean I could walk, but I'd be dead by the time I get there .",verb-stem,1,0,No past meaning is expressed with a bare verb stem.
But I mean driving it's like five minutes.,appositive-pleonastic-pronoun,0,1,"Topicalized 'driving' is followed by a resumptive subject pronoun 'it' (Driving, it's like five minutes)."
"Cause you know, a lot of people come in here, they got attitudes about they lotto, so.",appositive-pleonastic-pronoun,0,1,The subject NP 'a lot of people' is resumed by the pronoun 'they' in a following clause.
"But I only went there one time, and I don't really- I mean I talk to them every now and again, but I don't see 'em.",past-tense-swap,1,0,No participle-for-preterite or overregularized past form is used.
"And that's my favorite time like, it was so much fun, like, I don't know, everybody you see for- that you didn't see for a while come around.",zero-3sg-pres-s,0,1,"With 3sg subject 'everybody,' the verb appears bare ('everybody ... come around') where SAE requires 'comes.'"
"And that's my favorite time like, it was so much fun, like, I don't know, everybody you see for- that you didn't see for a while come around.",verb-stem,1,0,"Although 'come' is bare, the reading is habitual/present with 3sg subject rather than a bare stem used for past."
"The whole- you know, everything about it, it's it's beautiful, so.",appositive-pleonastic-pronoun,0,1,"Left-dislocation ('everything about it') is followed by a resumptive subject pronoun ('it' in 'it's ... beautiful'), repeating the topic."
"I mean I been playin- I've been playing, um, it's called mass.",bin,1,0,Initial 'I been playin-' is a disfluency and then corrected to 'I've been'; no clear stressed BIN indicating remote past.
"It's nothing to extravagant when you're just playing with the band, like.",existential-it,1,0,"'It' functions as a regular subject in a copular clause, not as existential 'it' replacing 'there'."
"Like True Blood, that used to be my show.",appositive-pleonastic-pronoun,0,1,"The topicalized phrase 'Like True Blood' is resumed by the pronoun 'that' as subject, yielding a left-dislocation/resumptive structure."
"And, um, it's crazy because like, family members, they tend to forget about their- Your mom, or dad, or aunts, uncles.",appositive-pleonastic-pronoun,0,1,"'Family members, they tend to forget' repeats the subject with a resumptive pronoun 'they'."
"And like, on my old block,  turn into a party, and like, when you go outside  it's music playing.",zero-3sg-pres-s,1,0,No explicit 3sg subject with a bare verb; 'turn into a party' lacks an overt subject.
This boy come up to me and I'm using my card.,zero-3sg-pres-s,0,1,Third-person singular subject 'This boy' takes bare 'come' where SAE present would require 'comes'; the coordinated present 'I'm using my card' supports a present-time reading.
"I'm thinking he about to scam me, so I'm like- I'm like, what is going on?",zero-copula,0,1,"In 'he about to scam me', the required 'is' between the subject and predicate is omitted (SAE: 'he is about to scam me')."
"He like, hey put your- put your number in my phone.",zero-copula,1,0,"There is no required BE between subject and predicate; 'He like' functions as a quotative verb, not a copular frame. Ambiguous with 'be like', so conservative 0."
"He like, hey put your- put your number in my phone.",zero-3sg-pres-s,0,1,'He like' shows a 3rd singular subject with a bare verb where SAE requires 'likes' or 'is like' in the quotative.
Or how you doing?,wh-qu1,0,1,WH-question missing auxiliary: 'How you doing?' lacks 'are'.
Or they be like what you finna do?,wh-qu1,0,1,WH-question lacks required auxiliary: 'What you Ø finna do?' (missing 'are').
"If I'm at the gas station, aye what you finna do?",zero-copula,1,0,"Copula is present in 'I'm'; in the WH-clause, the issue is auxiliary deletion handled under wh-qu1, not copula deletion."
"If I'm at the gas station, aye what you finna do?",wh-qu1,0,1,"In 'what you finna do?', the WH-question lacks the auxiliary BE required in SAE (cf. 'What are you about to/finna do?')."
