feature,f1_CTX1t,f1_noCTX,delta,wilcoxon_stat,wilcoxon_p,bootstrap_ci_lo,bootstrap_ci_hi,cohens_d,n_features,significant
aint,1.0,0.9904,-0.0096,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
appositive-pleonastic-pronoun,0.7758,0.7737,-0.0021,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
bare-got,0.7833,0.7874,0.0041,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
be-construction,0.7634,0.75,-0.0134,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
bin,1.0,1.0,0.0,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
demonstrative-them,1.0,1.0,0.0,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
double-object,0.8304,0.85,0.0196,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
double-tense,0.0,0.0,0.0,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
existential-it,0.6738,0.6891,0.0153,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
is-was-gen,0.8268,0.8136,-0.0132,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
multiple-neg,0.8964,0.8902,-0.0062,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
n-inv-neg-concord,0.0,0.25,0.25,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
neg-inversion,0.0,0.0,0.0,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
past-tense-swap,0.4918,0.4896,-0.0022,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
preterite-had,0.2944,0.3076,0.0132,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
resultant-done,1.0,1.0,0.0,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
verb-stem,0.3833,0.3216,-0.0617,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
zero-3sg-pres-s,0.7677,0.7737,0.0061,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
zero-copula,0.7511,0.7674,0.0163,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
zero-pl-s,0.597,0.6568,0.0598,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
zero-poss,0.7519,0.7574,0.0055,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
zero-rel-pronoun,0.0931,0.0684,-0.0247,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
_OVERALL,0.6218,0.6335,0.0117,65.0,0.586174,-0.0064,0.0386,0.2035,22,False
