feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
aint,25,CTX1t,FS,0.0,0.0,0.0
aint,25,CTX1t,FScot,0.0,0.0,0.0
aint,25,CTX1t,ZS,0.0,0.0,0.0
aint,25,CTX1t,ZScot,0.0,0.0,0.0
aint,25,noCTX,FS,0.0,0.0,0.0
aint,25,noCTX,FScot,0.0,0.1428571428571429,0.07692307692307687
aint,25,noCTX,ZS,0.0,0.0,0.0
aint,25,noCTX,ZScot,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,CTX1t,FS,0.029565217391304355,-0.039999999999999925,-0.006666666666666599
appositive-pleonastic-pronoun,25,CTX1t,FScot,-0.009971509971509973,-0.03846153846153855,-0.0239477503628448
appositive-pleonastic-pronoun,25,CTX1t,ZS,0.010000000000000009,-0.0476923076923077,-0.01777777777777778
appositive-pleonastic-pronoun,25,CTX1t,ZScot,0.07407407407407407,0.07692307692307698,0.07547169811320764
appositive-pleonastic-pronoun,25,noCTX,FS,0.02608695652173909,-0.040000000000000036,-0.008333333333333415
appositive-pleonastic-pronoun,25,noCTX,FScot,0.0092592592592593,-0.07692307692307698,-0.03471698113207555
appositive-pleonastic-pronoun,25,noCTX,ZS,0.034420289855072506,0.0,0.016843971631205656
appositive-pleonastic-pronoun,25,noCTX,ZScot,0.010000000000000009,-0.07692307692307698,-0.0326797385620915
bare-got,25,CTX1t,FS,0.008333333333333304,0.015789473684210464,0.013071895424836666
bare-got,25,CTX1t,FScot,0.04166666666666663,-0.04761904761904767,-0.012474012474012475
bare-got,25,CTX1t,ZS,0.008333333333333304,0.014619883040935644,0.0121212121212122
bare-got,25,CTX1t,ZScot,-0.006535947712418277,-0.04761904761904756,-0.031039136302294157
bare-got,25,noCTX,FS,0.04166666666666663,-0.050000000000000044,-0.011695906432748537
bare-got,25,noCTX,FScot,-0.01388888888888884,-0.09523809523809523,-0.06375606375606369
bare-got,25,noCTX,ZS,-0.004761904761904745,-0.04999999999999993,-0.03529411764705892
bare-got,25,noCTX,ZScot,0.05555555555555547,0.04761904761904756,0.05128205128205121
be-construction,25,CTX1t,FS,0.0,0.0,0.0
be-construction,25,CTX1t,FScot,0.0,0.0,0.0
be-construction,25,CTX1t,ZS,-0.25,0.0,-0.1071428571428571
be-construction,25,CTX1t,ZScot,0.0,0.0,0.0
