feature,feature_set,instr,leg,d_precision_noCTX_minus_CTX1t,d_recall_noCTX_minus_CTX1t,d_f1_noCTX_minus_CTX1t
aint,25,FS,Leg,0.0,0.0,0.0
aint,25,FS,noLeg,0.0,0.0,0.0
aint,25,FScot,Leg,0.0,0.0,0.0
aint,25,FScot,noLeg,0.0,-0.1428571428571429,-0.07692307692307687
aint,25,ZS,Leg,0.0,0.0,0.0
aint,25,ZS,noLeg,0.0,0.0,0.0
aint,25,ZScot,Leg,0.0,0.0,0.0
aint,25,ZScot,noLeg,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,FS,Leg,-0.04347826086956519,-0.040000000000000036,-0.04166666666666674
appositive-pleonastic-pronoun,25,FS,noLeg,-0.039999999999999925,-0.039999999999999925,-0.039999999999999925
appositive-pleonastic-pronoun,25,FScot,Leg,0.019230769230769273,-0.038461538461538436,-0.010769230769230753
appositive-pleonastic-pronoun,25,FScot,noLeg,0.0,0.0,0.0
appositive-pleonastic-pronoun,25,ZS,Leg,0.06608695652173913,0.03166666666666662,0.04851063829787228
appositive-pleonastic-pronoun,25,ZS,noLeg,0.04166666666666663,-0.01602564102564108,0.01388888888888884
appositive-pleonastic-pronoun,25,ZScot,Leg,-0.01777777777777778,-0.07692307692307698,-0.047354790972993
appositive-pleonastic-pronoun,25,ZScot,noLeg,0.04629629629629628,0.07692307692307698,0.06079664570230614
bare-got,25,FS,Leg,0.0,0.0,0.0
bare-got,25,FS,noLeg,-0.033333333333333326,0.06578947368421051,0.024767801857585203
bare-got,25,FScot,Leg,0.0,0.0,0.0
bare-got,25,FScot,noLeg,0.05555555555555547,0.04761904761904756,0.05128205128205121
bare-got,25,ZS,Leg,0.0535714285714286,-0.08684210526315783,-0.03529411764705892
bare-got,25,ZS,noLeg,0.06666666666666665,-0.022222222222222254,0.0121212121212122
bare-got,25,ZScot,Leg,0.006535947712418277,0.04761904761904756,0.031039136302294157
bare-got,25,ZScot,noLeg,-0.05555555555555547,-0.04761904761904756,-0.05128205128205121
be-construction,25,FS,Leg,0.0,0.0,0.0
be-construction,25,FS,noLeg,0.0,0.0,0.0
be-construction,25,FScot,Leg,0.0,0.0,0.0
be-construction,25,FScot,noLeg,0.0,0.0,0.0
be-construction,25,ZS,Leg,0.0,0.0,0.0
be-construction,25,ZS,noLeg,-0.25,0.0,-0.1071428571428571
be-construction,25,ZScot,Leg,0.0,0.0,0.0
be-construction,25,ZScot,noLeg,0.0,0.0,0.0
bin,25,FS,Leg,0.0,0.0,0.0
bin,25,FS,noLeg,0.0,0.0,0.0
bin,25,FScot,Leg,0.0,0.0,0.0
bin,25,FScot,noLeg,0.0,0.0,0.0
bin,25,ZS,Leg,0.0,0.0,0.0
bin,25,ZS,noLeg,0.0,0.0,0.0
bin,25,ZScot,Leg,0.0,0.0,0.0
bin,25,ZScot,noLeg,0.0,0.0,0.0
demonstrative-them,25,FS,Leg,0.0,0.0,0.0
demonstrative-them,25,FS,noLeg,0.0,0.0,0.0
demonstrative-them,25,FScot,Leg,0.0,0.0,0.0
demonstrative-them,25,FScot,noLeg,0.0,0.0,0.0
demonstrative-them,25,ZS,Leg,0.0,0.0,0.0
demonstrative-them,25,ZS,noLeg,0.0,0.0,0.0
demonstrative-them,25,ZScot,Leg,0.0,0.0,0.0
demonstrative-them,25,ZScot,noLeg,0.0,0.0,0.0
double-object,25,FS,Leg,0.0,0.0,0.0
double-object,25,FS,noLeg,0.0,0.0,0.0
double-object,25,FScot,Leg,0.25,0.0,0.1071428571428571
double-object,25,FScot,noLeg,0.0,0.0,0.0
double-object,25,ZS,Leg,0.25,0.0,0.1071428571428571
double-object,25,ZS,noLeg,0.0,-0.08333333333333337,-0.05714285714285705
double-object,25,ZScot,Leg,0.0,0.0,0.0
double-object,25,ZScot,noLeg,0.0,0.0,0.0
double-tense,25,ZS,noLeg,0.0,0.0,0.0
existential-it,25,FS,Leg,0.027609427609427584,0.06666666666666665,0.03977591036414563
existential-it,25,FS,noLeg,-0.014545454545454639,-0.07619047619047625,-0.033333333333333326
existential-it,25,FScot,Leg,0.10223144784639338,0.033333333333333326,0.08304371684653378
existential-it,25,FScot,noLeg,-0.045454545454545414,-0.06666666666666665,-0.05405405405405406
existential-it,25,ZS,Leg,-0.03014184397163122,-0.0367816091954023,-0.03373819163292846
existential-it,25,ZS,noLeg,0.042046605876393084,0.02619047619047621,0.038961038961038974
existential-it,25,ZScot,Leg,0.08442871587462086,0.06666666666666665,0.08183129055515492
existential-it,25,ZScot,noLeg,0.0,0.0,0.0
is-was-gen,25,FS,Leg,-0.04692082111436946,0.0,-0.026674076132259028
is-was-gen,25,FS,noLeg,0.0,0.03418803418803429,0.014026884862653355
is-was-gen,25,FScot,Leg,0.014705882352941124,-0.03571428571428581,-0.006451612903225712
is-was-gen,25,FScot,noLeg,-0.025201612903225756,0.0,-0.01412429378531066
is-was-gen,25,ZS,Leg,0.0,0.0,0.0
is-was-gen,25,ZS,noLeg,-0.09852216748768472,-0.042735042735042694,-0.07272727272727264
is-was-gen,25,ZScot,Leg,0.0,0.0,0.0
is-was-gen,25,ZScot,noLeg,0.0,0.0,0.0
multiple-neg,25,FS,Leg,-0.04787644787644785,0.0,-0.026050420168067245
multiple-neg,25,FS,noLeg,0.06227106227106227,-0.03125,0.022282951439983267
multiple-neg,25,FScot,Leg,0.0017825311942958333,0.030303030303030276,0.01582994120307546
multiple-neg,25,FScot,noLeg,-0.026050420168067245,0.0,-0.013608428446005294
multiple-neg,25,ZS,Leg,0.0,0.0,0.0
multiple-neg,25,ZS,noLeg,-0.005398110661268496,-0.03125,-0.01609657947686116
multiple-neg,25,ZScot,Leg,0.015789473684210464,-0.030303030303030276,-0.0034728921474049823
multiple-neg,25,ZScot,noLeg,-0.027027027027027084,-0.030303030303030276,-0.02857142857142858
n-inv-neg-concord,25,FS,Leg,0.0,0.0,0.0
n-inv-neg-concord,25,FS,noLeg,1.0,1.0,1.0
n-inv-neg-concord,25,FScot,Leg,0.0,0.0,0.0
n-inv-neg-concord,25,FScot,noLeg,0.0,0.0,0.0
n-inv-neg-concord,25,ZS,Leg,0.0,0.0,0.0
