model,feature,accuracy,precision,recall,f1,TP,FP,FN,TN,n_sentences
FS_CTX1t_Leg,zero-poss,0.9781746031746031,0.3076923076923077,0.6666666666666666,0.42105263157894735,8,18,4,978,1008
FS_CTX1t_Leg,zero-copula,0.9642857142857143,0.7358490566037735,0.639344262295082,0.6842105263157895,39,14,22,933,1008
FS_CTX1t_Leg,double-tense,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
FS_CTX1t_Leg,be-construction,0.998015873015873,0.75,0.75,0.75,3,1,1,1003,1008
FS_CTX1t_Leg,resultant-done,0.9990079365079365,0.75,1.0,0.8571428571428571,3,1,0,1004,1008
FS_CTX1t_Leg,come,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
FS_CTX1t_Leg,multiple-neg,0.9920634920634921,0.8378378378378378,0.9393939393939394,0.8857142857142857,31,6,2,969,1008
FS_CTX1t_Leg,neg-inversion,0.998015873015873,0.0,0.0,0.0,0,1,1,1006,1008
FS_CTX1t_Leg,n-inv-neg-concord,1.0,1.0,1.0,1.0,1,0,0,1007,1008
FS_CTX1t_Leg,aint,1.0,1.0,1.0,1.0,7,0,0,1001,1008
FS_CTX1t_Leg,zero-3sg-pres-s,0.9851190476190477,0.7073170731707317,0.90625,0.7945205479452054,29,12,3,964,1008
FS_CTX1t_Leg,is-was-gen,0.9841269841269841,0.6764705882352942,0.8214285714285714,0.7419354838709677,23,11,5,969,1008
FS_CTX1t_Leg,zero-pl-s,0.9970238095238095,0.6666666666666666,1.0,0.8,6,3,0,999,1008
FS_CTX1t_Leg,double-object,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
FS_CTX1t_Leg,existential-it,0.9761904761904762,0.575,0.7666666666666667,0.6571428571428571,23,17,7,961,1008
FS_CTX1t_Leg,demonstrative-them,0.996031746031746,0.3333333333333333,1.0,0.5,2,4,0,1002,1008
FS_CTX1t_Leg,appositive-pleonastic-pronoun,0.9821428571428571,0.6538461538461539,0.6538461538461539,0.6538461538461539,17,9,9,973,1008
FS_CTX1t_Leg,bin,1.0,1.0,1.0,1.0,13,0,0,995,1008
FS_CTX1t_Leg,verb-stem,0.9672619047619048,0.25,0.16,0.1951219512195122,4,12,21,971,1008
FS_CTX1t_Leg,past-tense-swap,0.9861111111111112,0.5882352941176471,0.5882352941176471,0.5882352941176471,10,7,7,984,1008
FS_CTX1t_Leg,zero-rel-pronoun,0.9573412698412699,0.44680851063829785,0.5526315789473685,0.49411764705882355,21,26,17,944,1008
FS_CTX1t_Leg,preterite-had,0.9970238095238095,0.6666666666666666,1.0,0.8,6,3,0,999,1008
FS_CTX1t_Leg,bare-got,0.9930555555555556,1.0,0.6666666666666666,0.8,14,0,7,987,1008
FS_CTX1t_noLeg,zero-poss,0.9771825396825397,0.2962962962962963,0.6666666666666666,0.41025641025641024,8,19,4,977,1008
FS_CTX1t_noLeg,zero-copula,0.9642857142857143,0.7192982456140351,0.6721311475409836,0.6949152542372882,41,16,20,931,1008
FS_CTX1t_noLeg,double-tense,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
FS_CTX1t_noLeg,be-construction,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
FS_CTX1t_noLeg,resultant-done,1.0,1.0,1.0,1.0,3,0,0,1005,1008
FS_CTX1t_noLeg,multiple-neg,0.9910714285714286,0.8157894736842105,0.9393939393939394,0.8732394366197183,31,7,2,968,1008
FS_CTX1t_noLeg,neg-inversion,0.998015873015873,0.0,0.0,0.0,0,1,1,1006,1008
FS_CTX1t_noLeg,n-inv-neg-concord,0.9990079365079365,0.0,0.0,0.0,0,0,1,1007,1008
FS_CTX1t_noLeg,aint,1.0,1.0,1.0,1.0,7,0,0,1001,1008
FS_CTX1t_noLeg,zero-3sg-pres-s,0.9851190476190477,0.7073170731707317,0.90625,0.7945205479452054,29,12,3,964,1008
FS_CTX1t_noLeg,is-was-gen,0.9861111111111112,0.7058823529411765,0.8571428571428571,0.7741935483870968,24,10,4,970,1008
FS_CTX1t_noLeg,zero-pl-s,0.996031746031746,0.625,0.8333333333333334,0.7142857142857143,5,3,1,999,1008
FS_CTX1t_noLeg,double-object,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
FS_CTX1t_noLeg,existential-it,0.9781746031746031,0.6,0.8,0.6857142857142857,24,16,6,962,1008
FS_CTX1t_noLeg,demonstrative-them,0.998015873015873,0.5,1.0,0.6666666666666666,2,2,0,1004,1008
FS_CTX1t_noLeg,appositive-pleonastic-pronoun,0.9821428571428571,0.6538461538461539,0.6538461538461539,0.6538461538461539,17,9,9,973,1008
FS_CTX1t_noLeg,bin,0.9990079365079365,1.0,0.9230769230769231,0.96,12,0,1,995,1008
FS_CTX1t_noLeg,verb-stem,0.9692460317460317,0.25,0.12,0.16216216216216217,3,9,22,974,1008
FS_CTX1t_noLeg,past-tense-swap,0.9831349206349206,0.5,0.47058823529411764,0.48484848484848486,8,8,9,983,1008
FS_CTX1t_noLeg,zero-rel-pronoun,0.9484126984126984,0.34782608695652173,0.42105263157894735,0.38095238095238093,16,30,22,940,1008
FS_CTX1t_noLeg,preterite-had,0.9930555555555556,0.45454545454545453,0.8333333333333334,0.5882352941176471,5,6,1,996,1008
FS_CTX1t_noLeg,bare-got,0.9910714285714286,0.9285714285714286,0.6190476190476191,0.7428571428571429,13,1,8,986,1008
FS_noCTX_Leg,zero-poss,0.9811507936507936,0.37037037037037035,0.8333333333333334,0.5128205128205128,10,17,2,979,1008
FS_noCTX_Leg,zero-copula,0.9682539682539683,0.7843137254901961,0.6557377049180327,0.7142857142857143,40,11,21,936,1008
FS_noCTX_Leg,double-tense,0.998015873015873,0.0,0.0,0.0,0,2,0,1006,1008
FS_noCTX_Leg,be-construction,0.998015873015873,1.0,0.5,0.6666666666666666,2,0,2,1004,1008
FS_noCTX_Leg,resultant-done,0.9990079365079365,0.75,1.0,0.8571428571428571,3,1,0,1004,1008
FS_noCTX_Leg,double-modal,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
FS_noCTX_Leg,multiple-neg,0.9940476190476191,0.8857142857142857,0.9393939393939394,0.9117647058823529,31,4,2,971,1008
FS_noCTX_Leg,neg-inversion,0.9990079365079365,0.5,1.0,0.6666666666666666,1,1,0,1006,1008
FS_noCTX_Leg,n-inv-neg-concord,0.9990079365079365,0.0,0.0,0.0,0,0,1,1007,1008
FS_noCTX_Leg,aint,1.0,1.0,1.0,1.0,7,0,0,1001,1008
FS_noCTX_Leg,zero-3sg-pres-s,0.9831349206349206,0.6829268292682927,0.875,0.7671232876712328,28,13,4,963,1008
FS_noCTX_Leg,is-was-gen,0.9871031746031746,0.7419354838709677,0.8214285714285714,0.7796610169491526,23,8,5,972,1008
FS_noCTX_Leg,zero-pl-s,1.0,1.0,1.0,1.0,6,0,0,1002,1008
FS_noCTX_Leg,double-object,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
FS_noCTX_Leg,existential-it,0.9742063492063492,0.55,0.7333333333333333,0.6285714285714286,22,18,8,960,1008
FS_noCTX_Leg,demonstrative-them,0.9970238095238095,0.3333333333333333,0.5,0.4,1,2,1,1004,1008
FS_noCTX_Leg,appositive-pleonastic-pronoun,0.9851190476190477,0.7391304347826086,0.6538461538461539,0.6938775510204082,17,6,9,976,1008
FS_noCTX_Leg,bin,0.9990079365079365,1.0,0.9230769230769231,0.96,12,0,1,995,1008
FS_noCTX_Leg,verb-stem,0.9702380952380952,0.3333333333333333,0.2,0.25,5,10,20,973,1008
FS_noCTX_Leg,past-tense-swap,0.9890873015873016,0.75,0.5294117647058824,0.6206896551724138,9,3,8,988,1008
FS_noCTX_Leg,zero-rel-pronoun,0.9503968253968254,0.3888888888888889,0.5526315789473685,0.45652173913043476,21,33,17,937,1008
FS_noCTX_Leg,preterite-had,0.998015873015873,0.75,1.0,0.8571428571428571,6,2,0,1000,1008
FS_noCTX_Leg,bare-got,0.9910714285714286,0.875,0.6666666666666666,0.7567567567567568,14,2,7,985,1008
FS_noCTX_noLeg,zero-poss,0.9791666666666666,0.3448275862068966,0.8333333333333334,0.4878048780487805,10,19,2,977,1008
FS_noCTX_noLeg,zero-copula,0.9623015873015873,0.6949152542372882,0.6721311475409836,0.6833333333333333,41,18,20,929,1008
FS_noCTX_noLeg,double-tense,0.998015873015873,0.0,0.0,0.0,0,2,0,1006,1008
FS_noCTX_noLeg,be-construction,0.9970238095238095,0.6666666666666666,0.5,0.5714285714285714,2,1,2,1003,1008
FS_noCTX_noLeg,resultant-done,0.9990079365079365,1.0,0.6666666666666666,0.8,2,0,1,1005,1008
FS_noCTX_noLeg,multiple-neg,0.9930555555555556,0.8611111111111112,0.9393939393939394,0.8985507246376812,31,5,2,970,1008
FS_noCTX_noLeg,neg-inversion,0.9970238095238095,0.25,1.0,0.4,1,3,0,1004,1008
FS_noCTX_noLeg,n-inv-neg-concord,0.9990079365079365,0.0,0.0,0.0,0,0,1,1007,1008
FS_noCTX_noLeg,aint,1.0,1.0,1.0,1.0,7,0,0,1001,1008
FS_noCTX_noLeg,zero-3sg-pres-s,0.9851190476190477,0.7073170731707317,0.90625,0.7945205479452054,29,12,3,964,1008
FS_noCTX_noLeg,is-was-gen,0.9871031746031746,0.7272727272727273,0.8571428571428571,0.7868852459016393,24,9,4,971,1008
FS_noCTX_noLeg,zero-pl-s,0.9990079365079365,0.8571428571428571,1.0,0.9230769230769231,6,1,0,1001,1008
FS_noCTX_noLeg,double-object,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
