model,feature,accuracy,precision,recall,f1,TP,FP,FN,TN,n_sentences
GPT41_FS_CTX1t_Leg,zero-poss,0.9801587301587301,0.3076923076923077,0.8,0.4444444444444444,8,18,2,980,1008
GPT41_FS_CTX1t_Leg,zero-copula,0.9593253968253969,0.5660377358490566,0.625,0.594059405940594,30,23,18,937,1008
GPT41_FS_CTX1t_Leg,double-tense,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
GPT41_FS_CTX1t_Leg,be-construction,0.998015873015873,0.75,0.75,0.75,3,1,1,1003,1008
GPT41_FS_CTX1t_Leg,resultant-done,0.9990079365079365,0.75,1.0,0.8571428571428571,3,1,0,1004,1008
GPT41_FS_CTX1t_Leg,come,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
GPT41_FS_CTX1t_Leg,multiple-neg,0.9910714285714286,0.7837837837837838,0.9666666666666667,0.8656716417910447,29,8,1,970,1008
GPT41_FS_CTX1t_Leg,neg-inversion,0.998015873015873,0.0,0.0,0.0,0,1,1,1006,1008
GPT41_FS_CTX1t_Leg,n-inv-neg-concord,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
GPT41_FS_CTX1t_Leg,aint,1.0,1.0,1.0,1.0,7,0,0,1001,1008
GPT41_FS_CTX1t_Leg,zero-3sg-pres-s,0.9801587301587301,0.5365853658536586,0.9565217391304348,0.6875,22,19,1,966,1008
GPT41_FS_CTX1t_Leg,is-was-gen,0.9851190476190477,0.6764705882352942,0.8518518518518519,0.7540983606557377,23,11,4,970,1008
GPT41_FS_CTX1t_Leg,zero-pl-s,0.9950396825396826,0.4444444444444444,1.0,0.6153846153846154,4,5,0,999,1008
GPT41_FS_CTX1t_Leg,double-object,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
GPT41_FS_CTX1t_Leg,existential-it,0.9732142857142857,0.425,0.8095238095238095,0.5573770491803278,17,23,4,964,1008
GPT41_FS_CTX1t_Leg,demonstrative-them,0.996031746031746,0.3333333333333333,1.0,0.5,2,4,0,1002,1008
GPT41_FS_CTX1t_Leg,appositive-pleonastic-pronoun,0.9801587301587301,0.4230769230769231,0.6875,0.5238095238095238,11,15,5,977,1008
GPT41_FS_CTX1t_Leg,bin,1.0,1.0,1.0,1.0,13,0,0,995,1008
GPT41_FS_CTX1t_Leg,verb-stem,0.9662698412698413,0.1875,0.125,0.15,3,13,21,971,1008
GPT41_FS_CTX1t_Leg,past-tense-swap,0.9841269841269841,0.35294117647058826,0.5454545454545454,0.42857142857142855,6,11,5,986,1008
GPT41_FS_CTX1t_Leg,zero-rel-pronoun,0.9533730158730159,0.0425531914893617,0.5,0.0784313725490196,2,45,2,959,1008
GPT41_FS_CTX1t_Leg,preterite-had,0.9940476190476191,0.5555555555555556,0.7142857142857143,0.625,5,4,2,997,1008
GPT41_FS_CTX1t_Leg,bare-got,0.9940476190476191,1.0,0.7,0.8235294117647058,14,0,6,988,1008
GPT41_FS_CTX1t_noLeg,zero-poss,0.9791666666666666,0.2962962962962963,0.8,0.43243243243243246,8,19,2,979,1008
GPT41_FS_CTX1t_noLeg,zero-copula,0.9593253968253969,0.5614035087719298,0.6666666666666666,0.6095238095238096,32,25,16,935,1008
GPT41_FS_CTX1t_noLeg,double-tense,0.9990079365079365,0.0,0.0,0.0,0,1,0,1007,1008
GPT41_FS_CTX1t_noLeg,be-construction,0.9990079365079365,1.0,0.75,0.8571428571428571,3,0,1,1004,1008
GPT41_FS_CTX1t_noLeg,resultant-done,1.0,1.0,1.0,1.0,3,0,0,1005,1008
GPT41_FS_CTX1t_noLeg,multiple-neg,0.9900793650793651,0.7631578947368421,0.9666666666666667,0.8529411764705882,29,9,1,969,1008
GPT41_FS_CTX1t_noLeg,neg-inversion,0.998015873015873,0.0,0.0,0.0,0,1,1,1006,1008
