model,feature,accuracy,precision,recall,f1,TP,FP,FN,TN,n_sentences
FS_CTX1t_Leg,zero-poss,0.9949698189134809,0.8181818181818182,0.75,0.782608695652174,9,2,3,980,1008
FS_CTX1t_Leg,zero-copula,0.9637826961770624,0.6222222222222222,0.9655172413793104,0.7567567567567568,56,34,2,902,1008
FS_CTX1t_Leg,be-construction,0.9979879275653923,0.75,0.75,0.75,3,1,1,989,1008
FS_CTX1t_Leg,resultant-done,1.0,1.0,1.0,1.0,3,0,0,991,1008
FS_CTX1t_Leg,multiple-neg,0.993963782696177,0.8857142857142857,0.9393939393939394,0.9117647058823529,31,4,2,957,1008
FS_CTX1t_Leg,neg-inversion,0.9969818913480886,0.0,0.0,0.0,0,2,1,991,1008
FS_CTX1t_Leg,n-inv-neg-concord,0.9989939637826962,0.0,0.0,0.0,0,0,1,993,1008
FS_CTX1t_Leg,aint,1.0,1.0,1.0,1.0,7,0,0,987,1008
FS_CTX1t_Leg,zero-3sg-pres-s,0.9828973843058351,0.7027027027027027,0.8125,0.7536231884057971,26,11,6,951,1008
FS_CTX1t_Leg,is-was-gen,0.9889224572004028,0.7741935483870968,0.8571428571428571,0.8135593220338984,24,7,4,958,1008
FS_CTX1t_Leg,zero-pl-s,0.9979838709677419,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,985,1008
FS_CTX1t_Leg,double-object,0.998991935483871,1.0,0.75,0.8571428571428571,3,0,1,988,1008
FS_CTX1t_Leg,existential-it,0.967741935483871,0.48148148148148145,0.8666666666666667,0.6190476190476191,26,28,4,934,1008
FS_CTX1t_Leg,demonstrative-them,1.0,1.0,1.0,1.0,2,0,0,990,1008
FS_CTX1t_Leg,appositive-pleonastic-pronoun,0.9919354838709677,0.8695652173913043,0.8,0.8333333333333334,20,3,5,964,1008
FS_CTX1t_Leg,bin,1.0,1.0,1.0,1.0,13,0,0,978,1008
FS_CTX1t_Leg,verb-stem,0.9727547931382442,0.391304347826087,0.4090909090909091,0.4,9,14,13,955,1008
FS_CTX1t_Leg,past-tense-swap,0.9808274470232089,0.42105263157894735,0.5,0.45714285714285713,8,11,8,964,1008
FS_CTX1t_Leg,zero-rel-pronoun,0.9655870445344129,0.6666666666666666,0.05714285714285714,0.10526315789473684,2,1,33,952,1008
FS_CTX1t_Leg,preterite-had,0.9979777553083923,1.0,0.5,0.6666666666666666,2,0,2,985,1008
FS_CTX1t_Leg,bare-got,0.9919110212335692,0.875,0.7,0.7777777777777778,14,2,6,967,1008
FS_CTX1t_noLeg,zero-poss,0.9949290060851927,0.8571428571428571,0.6,0.7058823529411765,6,1,4,975,1008
FS_CTX1t_noLeg,zero-copula,0.9614604462474645,0.6086956521739131,0.9655172413793104,0.7466666666666667,56,36,2,892,1008
FS_CTX1t_noLeg,be-construction,0.9979716024340771,0.75,0.75,0.75,3,1,1,981,1008
FS_CTX1t_noLeg,resultant-done,1.0,1.0,1.0,1.0,2,0,0,984,1008
FS_CTX1t_noLeg,multiple-neg,0.9908629441624366,0.7948717948717948,0.96875,0.8732394366197183,31,8,1,945,1008
FS_CTX1t_noLeg,neg-inversion,0.9969543147208122,0.0,0.0,0.0,0,2,1,982,1008
FS_CTX1t_noLeg,n-inv-neg-concord,0.9989847715736041,0.0,0.0,0.0,0,0,1,984,1008
FS_CTX1t_noLeg,aint,1.0,1.0,1.0,1.0,5,0,0,980,1008
FS_CTX1t_noLeg,zero-3sg-pres-s,0.9847715736040609,0.7222222222222222,0.8387096774193549,0.7761194029850746,26,10,5,944,1008
FS_CTX1t_noLeg,is-was-gen,0.9888324873096447,0.75,0.8888888888888888,0.8135593220338984,24,8,3,950,1008
FS_CTX1t_noLeg,zero-pl-s,0.9949186991869918,0.6,0.5,0.5454545454545454,3,2,3,976,1008
FS_CTX1t_noLeg,double-object,0.9989827060020345,1.0,0.75,0.8571428571428571,3,0,1,979,1008
FS_CTX1t_noLeg,existential-it,0.9755849440488301,0.56,0.9333333333333333,0.7,28,22,2,931,1008
FS_CTX1t_noLeg,demonstrative-them,1.0,1.0,1.0,1.0,1,0,0,982,1008
FS_CTX1t_noLeg,appositive-pleonastic-pronoun,0.9918450560652395,0.84,0.84,0.84,21,4,4,952,1008
FS_CTX1t_noLeg,bin,1.0,1.0,1.0,1.0,13,0,0,968,1008
FS_CTX1t_noLeg,verb-stem,0.9785932721712538,0.5294117647058824,0.4090909090909091,0.46153846153846156,9,8,13,951,1008
FS_CTX1t_noLeg,past-tense-swap,0.9867482161060143,0.5333333333333333,0.5714285714285714,0.5517241379310345,8,7,6,960,1008
FS_CTX1t_noLeg,zero-rel-pronoun,0.9632277834525026,0.25,0.029411764705882353,0.05263157894736842,1,3,33,942,1008
FS_CTX1t_noLeg,preterite-had,0.9959141981613892,1.0,0.2,0.3333333333333333,1,0,4,974,1008
FS_CTX1t_noLeg,bare-got,0.9918283963227783,0.8666666666666667,0.6842105263157895,0.7647058823529411,13,2,6,958,1008
FS_noCTX_Leg,zero-poss,0.992992992992993,0.6923076923076923,0.75,0.72,9,4,3,983,1008
FS_noCTX_Leg,zero-copula,0.9739478957915831,0.7058823529411765,0.9836065573770492,0.821917808219178,60,25,1,912,1008
FS_noCTX_Leg,be-construction,0.9979939819458375,0.75,0.75,0.75,3,1,1,992,1008
FS_noCTX_Leg,resultant-done,1.0,1.0,1.0,1.0,3,0,0,994,1008
FS_noCTX_Leg,come,0.9989969909729187,0.0,0.0,0.0,0,1,0,996,1008
FS_noCTX_Leg,multiple-neg,0.9919759277833501,0.8378378378378378,0.9393939393939394,0.8857142857142857,31,6,2,958,1008
FS_noCTX_Leg,neg-inversion,0.9969909729187563,0.0,0.0,0.0,0,2,1,994,1008
FS_noCTX_Leg,n-inv-neg-concord,0.9989969909729187,0.0,0.0,0.0,0,0,1,996,1008
FS_noCTX_Leg,aint,1.0,1.0,1.0,1.0,6,0,0,991,1008
FS_noCTX_Leg,zero-3sg-pres-s,0.9839518555667001,0.7027027027027027,0.8387096774193549,0.7647058823529411,26,11,5,955,1008
FS_noCTX_Leg,is-was-gen,0.9869608826479438,0.7272727272727273,0.8571428571428571,0.7868852459016393,24,9,4,960,1008
FS_noCTX_Leg,zero-pl-s,0.9969909729187563,0.8,0.6666666666666666,0.7272727272727273,4,1,2,990,1008
FS_noCTX_Leg,double-object,0.9989969909729187,1.0,0.75,0.8571428571428571,3,0,1,993,1008
FS_noCTX_Leg,existential-it,0.970912738214644,0.509090909090909,0.9333333333333333,0.6588235294117647,28,27,2,940,1008
FS_noCTX_Leg,demonstrative-them,1.0,1.0,1.0,1.0,2,0,0,995,1008
FS_noCTX_Leg,appositive-pleonastic-pronoun,0.9899699097291875,0.8260869565217391,0.76,0.7916666666666666,19,4,6,968,1008
FS_noCTX_Leg,bin,1.0,1.0,1.0,1.0,12,0,0,985,1008
FS_noCTX_Leg,verb-stem,0.9739217652958877,0.4375,0.2916666666666667,0.35,7,9,17,964,1008
FS_noCTX_Leg,past-tense-swap,0.9829317269076305,0.4666666666666667,0.4375,0.45161290322580644,7,8,9,972,1008
FS_noCTX_Leg,zero-rel-pronoun,0.964859437751004,0.25,0.030303030303030304,0.05405405405405406,1,3,32,960,1008
FS_noCTX_Leg,preterite-had,0.9939698492462311,0.0,0.0,0.0,0,1,5,989,1008
FS_noCTX_Leg,bare-got,0.9919517102615694,0.875,0.7,0.7777777777777778,14,2,6,972,1008
FS_noCTX_noLeg,zero-poss,0.9949647532729103,0.75,0.8181818181818182,0.782608695652174,9,3,2,979,1008
FS_noCTX_noLeg,zero-copula,0.9617321248741189,0.6129032258064516,0.9661016949152542,0.75,57,36,2,898,1008
FS_noCTX_noLeg,double-tense,0.998992950654582,0.0,0.0,0.0,0,1,0,992,1008
FS_noCTX_noLeg,be-construction,0.9979859013091642,0.75,0.75,0.75,3,1,1,988,1008
FS_noCTX_noLeg,resultant-done,1.0,1.0,1.0,1.0,3,0,0,990,1008
FS_noCTX_noLeg,multiple-neg,0.9929506545820745,0.8571428571428571,0.9375,0.8955223880597015,30,5,2,956,1008
FS_noCTX_noLeg,neg-inversion,0.9979859013091642,0.0,0.0,0.0,0,1,1,991,1008
FS_noCTX_noLeg,n-inv-neg-concord,1.0,1.0,1.0,1.0,1,0,0,991,1008
