feature,f1_noLeg,f1_Leg,delta,wilcoxon_stat,wilcoxon_p,bootstrap_ci_lo,bootstrap_ci_hi,cohens_d,n_features,significant
aint,0.9904,1.0,0.0096,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
appositive-pleonastic-pronoun,0.7767,0.7727,-0.004,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
bare-got,0.7902,0.7805,-0.0097,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
be-construction,0.7634,0.75,-0.0134,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
bin,1.0,1.0,0.0,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
demonstrative-them,1.0,1.0,0.0,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
double-object,0.85,0.8304,-0.0196,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
existential-it,0.6805,0.6824,0.002,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
is-was-gen,0.8243,0.8161,-0.0082,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
multiple-neg,0.892,0.8945,0.0025,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
n-inv-neg-concord,0.2857,0.0,-0.2857,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
neg-inversion,0.0,0.0,0.0,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
past-tense-swap,0.4988,0.4827,-0.0161,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
preterite-had,0.3271,0.275,-0.0521,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
resultant-done,1.0,1.0,0.0,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
verb-stem,0.3451,0.3597,0.0147,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
zero-3sg-pres-s,0.7671,0.7743,0.0071,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
zero-copula,0.7535,0.7649,0.0114,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
zero-pl-s,0.6209,0.633,0.0121,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
zero-poss,0.7463,0.7629,0.0166,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
zero-rel-pronoun,0.0791,0.0824,0.0033,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
_OVERALL,0.6662,0.6505,-0.0157,63.0,0.522781,-0.0461,0.0023,-0.2465,21,False
