model,feature,accuracy,precision,recall,f1,TP,FP,FN,TN,n_sentences
QWEN2.5_QWEN25_FS_CTX1t_Leg,zero-poss,0.9830677290836654,0.0,0.0,0.0,0,7,10,987,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,zero-copula,0.9333333333333333,0.0,0.0,0.0,0,19,48,938,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,be-construction,0.9940239043824701,0.0,0.0,0.0,0,2,4,998,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,resultant-done,0.9940239043824701,0.3333333333333333,1.0,0.5,3,6,0,995,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,finna,0.9940239043824701,0.0,0.0,0.0,0,6,0,998,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,come,0.99800796812749,0.0,0.0,0.0,0,2,0,1002,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,multiple-neg,0.9195630585898709,0.24242424242424243,0.8,0.37209302325581395,24,75,6,902,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,neg-inversion,0.9930348258706467,0.0,0.0,0.0,0,6,1,998,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,n-inv-neg-concord,0.9483614697120158,0.0,0.0,0.0,0,52,0,955,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,aint,0.9960199004975124,0.6363636363636364,1.0,0.7777777777777778,7,4,0,994,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,zero-3sg-pres-s,0.9682539682539683,0.15384615384615385,0.08695652173913043,0.1111111111111111,2,11,21,974,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,is-was-gen,0.9791459781529295,0.875,0.25925925925925924,0.4,7,1,20,979,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,zero-pl-s,0.9950347567030785,0.0,0.0,0.0,0,0,5,1002,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,double-object,0.9960278053624627,0.0,0.0,0.0,0,0,4,1003,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,existential-it,0.9791459781529295,0.0,0.0,0.0,0,0,21,986,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,demonstrative-them,0.9841112214498511,0.1111111111111111,1.0,0.2,2,16,0,989,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,appositive-pleonastic-pronoun,0.9841112214498511,0.0,0.0,0.0,0,0,16,991,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,bin,0.9801390268123138,0.23076923076923078,0.23076923076923078,0.23076923076923078,3,10,10,984,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,verb-stem,0.21825396825396826,0.023661270236612703,0.8260869565217391,0.04600484261501211,19,784,4,201,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,past-tense-swap,0.8611111111111112,0.04285714285714286,0.5,0.07894736842105263,6,134,6,862,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,zero-rel-pronoun,0.9950396825396826,0.0,0.0,0.0,0,1,4,1003,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,preterite-had,0.9821428571428571,0.17647058823529413,0.42857142857142855,0.25,3,14,4,987,1008
QWEN2.5_QWEN25_FS_CTX1t_Leg,bare-got,0.9682539682539683,0.28,0.3333333333333333,0.30434782608695654,7,18,14,969,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,zero-poss,0.9185700099304865,0.038461538461538464,0.3,0.06818181818181818,3,75,7,922,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,zero-copula,0.8560079443892751,0.0380952380952381,0.08333333333333333,0.05228758169934641,4,101,44,858,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,double-tense,0.9900695134061569,0.0,0.0,0.0,0,10,0,997,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,be-construction,0.958291956305859,0.0,0.0,0.0,0,38,4,965,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,resultant-done,0.9930486593843099,0.25,0.6666666666666666,0.36363636363636365,2,6,1,998,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,finna,0.9880834160873883,0.0,0.0,0.0,0,12,0,995,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,come,0.9880834160873883,0.0,0.0,0.0,0,12,0,995,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,double-modal,0.997020854021847,0.0,0.0,0.0,0,3,0,1004,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,multiple-neg,0.8968253968253969,0.19672131147540983,0.8,0.3157894736842105,24,98,6,880,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,neg-inversion,0.9890764647467726,0.0,0.0,0.0,0,10,1,996,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,n-inv-neg-concord,0.9404170804369414,0.0,0.0,0.0,0,60,0,947,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,aint,0.9851190476190477,0.3181818181818182,1.0,0.4827586206896552,7,15,0,986,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,zero-3sg-pres-s,0.9503968253968254,0.13513513513513514,0.21739130434782608,0.16666666666666666,5,32,18,953,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,is-was-gen,0.9732142857142857,0.5,0.14814814814814814,0.22857142857142856,4,4,23,977,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,zero-pl-s,0.9811507936507936,0.0,0.0,0.0,0,14,5,989,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,double-object,0.9950396825396826,0.0,0.0,0.0,0,1,4,1003,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,existential-it,0.9751984126984127,0.0,0.0,0.0,0,4,21,983,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,demonstrative-them,0.9702380952380952,0.0625,1.0,0.11764705882352941,2,30,0,976,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,appositive-pleonastic-pronoun,0.9801587301587301,0.0,0.0,0.0,0,4,16,988,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,bin,0.9603174603174603,0.11428571428571428,0.3076923076923077,0.16666666666666666,4,31,9,964,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,verb-stem,0.4880952380952381,0.026871401151631478,0.6086956521739131,0.051470588235294115,14,507,9,478,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,past-tense-swap,0.8343253968253969,0.03592814371257485,0.5,0.0670391061452514,6,161,6,835,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,zero-rel-pronoun,0.9871031746031746,0.0,0.0,0.0,0,9,4,995,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,preterite-had,0.9781746031746031,0.10526315789473684,0.2857142857142857,0.15384615384615385,2,17,5,984,1008
QWEN2.5_QWEN25_FS_CTX1t_noLeg,bare-got,0.9692460317460317,0.25,0.23809523809523808,0.24390243902439024,5,15,16,972,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,zero-poss,0.9821073558648111,0.1,0.1,0.1,1,9,9,987,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,zero-copula,0.9393638170974155,0.0,0.0,0.0,0,13,48,945,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,be-construction,0.9940357852882704,0.0,0.0,0.0,0,2,4,1000,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,resultant-done,0.9950298210735586,0.3333333333333333,0.6666666666666666,0.4444444444444444,2,4,1,999,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,finna,0.9910536779324056,0.0,0.0,0.0,0,9,0,997,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,come,0.9960238568588469,0.0,0.0,0.0,0,4,0,1002,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,multiple-neg,0.8988095238095238,0.2,0.8,0.32,24,96,6,882,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,neg-inversion,0.9910536779324056,0.0,0.0,0.0,0,8,1,997,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,n-inv-neg-concord,0.9325396825396826,0.0,0.0,0.0,0,68,0,940,1008
QWEN2.5_QWEN25_FS_CTX2t_Leg,aint,0.9910536779324056,0.4375,1.0,0.6086956521739131,7,9,0,990,1008
