rater_1,rater_2,feature,n_sentences,pct_agreement,cohens_kappa
Gold,Razan,zero-poss,736,0.9973,0.8736
Gold,Razan,zero-copula,735,0.9796,0.8462
Gold,Razan,double-tense,735,0.9986,0.0
Gold,Razan,be-construction,860,0.9977,0.6655
Gold,Razan,resultant-done,860,1.0,1.0
Gold,Razan,finna,860,1.0,
Gold,Razan,come,860,1.0,
Gold,Razan,double-modal,735,1.0,
Gold,Razan,multiple-neg,735,0.9932,0.8854
Gold,Razan,neg-inversion,735,0.9973,-0.0014
Gold,Razan,n-inv-neg-concord,735,0.9973,-0.0014
Gold,Razan,aint,860,1.0,1.0
Gold,Razan,zero-3sg-pres-s,736,0.9918,0.8804
Gold,Razan,is-was-gen,737,0.9891,0.8126
Gold,Razan,zero-pl-s,734,0.9946,0.4979
Gold,Razan,double-object,735,1.0,
Gold,Razan,existential-it,735,0.9864,0.8578
Gold,Razan,demonstrative-them,860,1.0,
Gold,Razan,appositive-pleonastic-pronoun,735,0.985,0.5153
Gold,Razan,bin,860,0.9884,0.1649
Gold,Razan,verb-stem,740,0.9797,0.5848
Gold,Razan,past-tense-swap,735,0.9864,0.1615
Gold,Razan,zero-rel-pronoun,735,0.9333,0.0581
Gold,Razan,preterite-had,859,0.9977,0.6656
Gold,Razan,bare-got,859,0.9965,0.8948
Gold,Tilly,zero-poss,67,0.9851,0.7926
Gold,Tilly,zero-copula,218,0.9679,0.3506
Gold,Tilly,double-tense,218,0.9817,0.0
Gold,Tilly,be-construction,218,0.9954,0.0
Gold,Tilly,resultant-done,218,0.9908,-0.0046
Gold,Tilly,finna,218,0.9954,0.0
Gold,Tilly,come,218,1.0,
Gold,Tilly,double-modal,218,1.0,
Gold,Tilly,multiple-neg,218,0.9725,0.0
Gold,Tilly,neg-inversion,218,0.9725,0.0
Gold,Tilly,n-inv-neg-concord,218,1.0,
Gold,Tilly,aint,218,1.0,
Gold,Tilly,zero-3sg-pres-s,218,0.9679,0.0
Gold,Tilly,is-was-gen,218,0.9725,0.2369
Gold,Tilly,zero-pl-s,218,0.9679,-0.016
Gold,Tilly,double-object,218,0.9817,-0.0069
Gold,Tilly,existential-it,218,0.9954,0.9207
Gold,Tilly,demonstrative-them,218,0.9954,0.0
Gold,Tilly,appositive-pleonastic-pronoun,218,0.9817,-0.0069
Gold,Tilly,bin,218,0.9817,-0.0069
Gold,Tilly,verb-stem,218,0.9633,0.1881
Gold,Tilly,past-tense-swap,218,0.9312,0.082
Gold,Tilly,zero-rel-pronoun,218,0.945,-0.0275
Gold,Tilly,preterite-had,218,0.9862,-0.0062
Gold,Tilly,bare-got,218,0.9725,0.2439
Razan,Tilly,zero-poss,67,0.9851,0.7926
Razan,Tilly,zero-copula,129,0.9612,0.4307
Razan,Tilly,double-tense,126,0.9841,0.0
Razan,Tilly,be-construction,377,0.9973,0.0
Razan,Tilly,resultant-done,377,0.992,-0.0035
Razan,Tilly,finna,377,0.9947,0.0
Razan,Tilly,come,377,1.0,
Razan,Tilly,double-modal,126,1.0,
Razan,Tilly,multiple-neg,128,0.9766,0.0
Razan,Tilly,neg-inversion,126,0.9921,0.0
Razan,Tilly,n-inv-neg-concord,126,1.0,
Razan,Tilly,aint,377,1.0,
Razan,Tilly,zero-3sg-pres-s,129,0.9535,0.0
Razan,Tilly,is-was-gen,129,0.9612,0.2695
Razan,Tilly,zero-pl-s,132,0.9167,0.1316
Razan,Tilly,double-object,128,0.9688,-0.0159
Razan,Tilly,existential-it,126,0.9762,0.7874
Razan,Tilly,demonstrative-them,377,0.9867,-0.0064
Razan,Tilly,appositive-pleonastic-pronoun,126,0.9683,-0.012
Razan,Tilly,bin,377,0.9629,0.0
Razan,Tilly,verb-stem,137,0.9124,0.2303
Razan,Tilly,past-tense-swap,126,0.9841,0.494
Razan,Tilly,zero-rel-pronoun,127,0.9449,-0.0277
Razan,Tilly,preterite-had,377,0.9602,-0.0158
Razan,Tilly,bare-got,377,0.9708,0.2572
