feature,f1_noLeg,f1_Leg,delta,wilcoxon_stat,wilcoxon_p,bootstrap_ci_lo,bootstrap_ci_hi,cohens_d,n_features,significant
aint,1.0,1.0,0.0,36.0,0.017583,-0.0034,0.02,0.3008,23,True
appositive-pleonastic-pronoun,0.6622,0.6868,0.0246,36.0,0.017583,-0.0034,0.02,0.3008,23,True
bare-got,0.7455,0.763,0.0175,36.0,0.017583,-0.0034,0.02,0.3008,23,True
be-construction,0.686,0.7003,0.0143,36.0,0.017583,-0.0034,0.02,0.3008,23,True
bin,0.9623,0.9637,0.0014,36.0,0.017583,-0.0034,0.02,0.3008,23,True
demonstrative-them,0.8423,0.8208,-0.0214,36.0,0.017583,-0.0034,0.02,0.3008,23,True
double-modal,0.0,0.0,0.0,36.0,0.017583,-0.0034,0.02,0.3008,23,True
double-object,0.8571,0.8571,0.0,36.0,0.017583,-0.0034,0.02,0.3008,23,True
double-tense,0.0,0.0,0.0,36.0,0.017583,-0.0034,0.02,0.3008,23,True
existential-it,0.6417,0.6392,-0.0025,36.0,0.017583,-0.0034,0.02,0.3008,23,True
is-was-gen,0.7972,0.8009,0.0037,36.0,0.017583,-0.0034,0.02,0.3008,23,True
multiple-neg,0.9061,0.914,0.0078,36.0,0.017583,-0.0034,0.02,0.3008,23,True
n-inv-neg-concord,0.5833,0.5,-0.0833,36.0,0.017583,-0.0034,0.02,0.3008,23,True
neg-inversion,0.1125,0.1333,0.0208,36.0,0.017583,-0.0034,0.02,0.3008,23,True
past-tense-swap,0.5393,0.5603,0.0211,36.0,0.017583,-0.0034,0.02,0.3008,23,True
preterite-had,0.5951,0.6844,0.0893,36.0,0.017583,-0.0034,0.02,0.3008,23,True
resultant-done,0.9036,0.9107,0.0071,36.0,0.017583,-0.0034,0.02,0.3008,23,True
verb-stem,0.2114,0.2343,0.0228,36.0,0.017583,-0.0034,0.02,0.3008,23,True
zero-3sg-pres-s,0.7869,0.7931,0.0062,36.0,0.017583,-0.0034,0.02,0.3008,23,True
zero-copula,0.7325,0.7436,0.0111,36.0,0.017583,-0.0034,0.02,0.3008,23,True
zero-pl-s,0.7466,0.7714,0.0248,36.0,0.017583,-0.0034,0.02,0.3008,23,True
zero-poss,0.632,0.6699,0.0379,36.0,0.017583,-0.0034,0.02,0.3008,23,True
zero-rel-pronoun,0.5221,0.5194,-0.0027,36.0,0.017583,-0.0034,0.02,0.3008,23,True
_OVERALL,0.6289,0.6377,0.0087,36.0,0.017583,-0.0034,0.02,0.3008,23,True
